new entry "Zone_BreathWeapon_AstralPsyonic_EL_1"
type "SpellData"
data "SpellType" "Zone"
data "Cooldown" "None"
data "SurfaceType" "Sentinel"
data "SurfaceLifetime" "0"
data "SurfaceGrowStep" "5"
data "SurfaceGrowInterval" "10"
data "SpellRoll" " not SavingThrow(Ability.Dexterity, CalculateSpellDC(Ability.Constitution, context.Source))"
data "SpellSuccess" "DealDamage(LevelMapValue(BreathWeapon), Necrotic,Magical);"
data "SpellFail" "DealDamage(LevelMapValue(BreathWeapon)/2, Necrotic,Magical);"
data "Icon" "Action_Dragonborn_BreathWeapon_Poison"
data "DisplayName" "h90c36edbg0b94g7b6bg6abeg88cf42a661d4;1"
data "Description" "he4599a69gb8e5g55f8gce11g566256c5f09b;1"
data "TooltipDamageList" "DealDamage(LevelMapValue(BreathWeapon),Necrotic)"
data "TooltipAttackSave" "Dexterity"
data "TooltipOnSave" "961753f4-c345-4bc4-b408-1d5b87a5ab0c"
data "PrepareSound" "Spell_Prepare_Damage_BreathWeapon_Acid"
data "PrepareLoopSound" "Spell_Loop_Damage_BreathWeapon_Acid"
data "CastSound" "Spell_Cast_Damage_BreathWeapon_Acid"
data "CastTextEvent" "Cast"
data "Shape" "Square"
data "Range" "5"
data "Base" "2"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "ce0aa392-7d13-45a2-8a59-e6786830265d,,;,,;bd10df60-20c2-4711-a1b0-cef708fa0f11,bd10df60-20c2-4711-a1b0-cef708fa0f11,bd10df60-20c2-4711-a1b0-cef708fa0f11;af7ebc22-2ad5-4a39-ad4f-4e93e45f88c1,,;4354d3c1-ffc2-4da2-9840-d8c5f0932cbf,,;,,;c6951776-8830-4d97-9286-35899fe08d0b,,;,,;,,"
data "SpellFlags" "CanAreaDamageEvade"
data "PrepareEffect" "cd923402-2d62-4ae6-a292-9dd5481a1df1"
data "CastEffect" "6693ca65-7658-46f0-a6cf-d4b511145b52"
data "TargetEffect" "b3d81cea-94b9-4c91-89ec-385a481943d3"
data "DamageType" "Necrotic"

